name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
香江控股,全国地产,深圳,19.34,115171.89,280925.94,1470387.75,1203642.13,51936.56,125183.72,0.45,0.2,1.99,2.2,19980609
爱司凯,专用机械,广东,142.13,2000.0,8000.0,51195.3,47899.62,1275.32,20405.65,2.55,0.49,5.64,13.6,20160705
弘业股份,商贸代理,江苏,85.68,24676.75,24676.75,289697.09,178928.84,28898.19,70878.78,2.87,0.149,6.15,2.76,19970901
佳隆股份,食品,广东,166.69,66611.13,93562.56,116917.36,26827.0,53327.38,5495.26,0.06,0.032,1.19,6.02,20101102
中工国际,建筑施工,北京,23.17,92033.89,92776.53,1885744.38,1349085.75,162843.95,182018.63,1.96,0.767,6.99,3.39,20060619
红 太 阳,农药化肥,江苏,185.35,50698.3,58077.28,964025.63,426718.56,268576.09,293950.5,5.06,0.067,8.06,2.05,19931028
佳电股份,电气设备,黑龙江,0.0,45790.05,54366.73,299728.31,215131.02,53774.23,114204.02,2.1,-0.505,2.93,4.33,19990618
鼎信通讯,通信设备,山东,82.32,4340.0,43340.0,203748.47,155399.31,12327.0,53400.91,1.23,0.52,4.22,12.18,20161011
顾家家居,家居用品,浙江,45.29,8250.0,41250.0,292471.75,152742.02,98100.68,10336.63,0.25,1.27,4.01,15.33,20161014
大连电瓷,电气设备,辽宁,93.56,14195.55,20400.0,139233.38,83302.84,42048.31,33052.15,1.62,0.321,3.99,10.04,20110805
同洲电子,通信设备,深圳,0.0,55757.83,74595.96,250198.2,154247.88,30802.68,87715.75,1.18,-0.203,1.86,6.92,20060627
中航地产,全国地产,深圳,0.0,66678.07,66696.14,2434532.75,1538226.63,12687.74,55059.98,0.83,-0.039,5.84,1.83,19940928
华宏科技,专用机械,江苏,97.6,14372.28,20944.5,177173.77,73256.59,33696.9,107329.63,5.12,0.23399999999999999,7.35,4.14,20111220
天宝股份,食品,辽宁,33.94,38948.12,54748.57,482998.84,245393.88,47508.57,100798.99,1.84,0.28,4.8,2.58,20080228
栖霞建设,区域地产,江苏,95.38,105000.0,105000.0,1563758.38,1300450.63,3022.3,104372.65,0.99,0.044000000000000004,3.76,1.5,20020328
云天化,农药化肥,云南,0.0,112213.0,132137.91,6780826.5,3118295.0,1921304.75,549653.13,4.16,-1.18,4.28,2.13,19970709
广晟有色,小金属,海南,0.0,25830.58,30180.23,405015.69,305953.13,34415.93,76105.35,2.52,-0.392,1.57,37.86,20000525
方大化工,化工原料,辽宁,168.65,68000.0,68000.0,258217.47,51498.94,139508.0,125299.32,1.84,0.061,3.17,4.34,19971017
赣能股份,火力发电,江西,19.25,55518.17,97567.77,753113.69,180881.47,368804.59,243347.55,2.49,0.40299999999999997,4.9,2.11,19971126
百润股份,红黄药酒,上海,0.0,37744.51,89600.0,202405.31,88560.56,64091.53,0.0,0.0,-0.11699999999999999,1.0,23.83,20110325
梅花生物,食品,西藏,22.38,206169.05,310822.66,1662343.25,423276.81,1091801.75,224245.16,0.72,0.214,2.79,2.28,19950217
苏大维格,元器件,江苏,411.97,12959.21,18600.0,68119.99,44482.21,20235.51,17269.76,0.93,0.059000000000000004,2.68,12.18,20120628
东音股份,专用机械,浙江,75.89,2500.0,10000.0,81711.75,53768.76,14834.11,31034.36,3.1,0.85,6.73,11.29,20160415
鼎立股份,综合类,上海,74.78,117955.72,175277.38,859121.69,443345.41,140974.13,255651.91,1.46,0.11199999999999999,2.69,4.14,19920828
